Name,ValueinCR,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,InningsBowled,Overs,Maidens,RunsConceded,Wickets
Manish Pandey,4.6,154,143,3560,1,21,309,103,30.68,121.83,75,,,,,
Ravi Bishnoi,4,23,4,8,0,0,1,0,4,50,4,23,87,1,606,24
Evin Lewis,2,,,,,,,,,,,,,,,
Dushmantha Chameera,2,,,,,,,,,,,,,,,
Krishnappa Gowtham,0.9,24,19,186,0,0,13,12,14.3,169.09,10,24,68,0,562,13
Kyle Mayers,0.5,,,,,,,,,,,,,,,
Shahbaz Nadeem,0.5,72,22,39,0,0,2,0,2.78,44.82,16,70,235.5,2,1784,48
Ankit Rajpoot,0.5,29,7,26,0,0,2,1,5.2,63.41,4,29,88.1,1,814,24
Mohsin Khan,0.2,,,,,,,,,,,,,,,
Ayush Badoni,0.2,,,,,,,,,,,,,,,
Karan Sharma,0.2,,,,,,,,,,,,,,,
Mayank Yadav,0.2,,,,,,,,,,,,,,,
Manan Vohra,0.2,53,49,1054,0,3,102,41,22.42,130.6,13,,,,,
Rashid Khan,15,76,35,222,0,0,17,13,9.25,137.03,20,76,302,4,1912,93
Hardik Pandya,15,92,85,1476,0,4,97,98,27.33,153.91,53,60,144.5,0,1313,42
Lockie Ferguson,10,22,6,62,0,0,5,2,,151.22,3,22,79.5,1,648,24
Rahul Tewatia,9,,,,,,,,,,,,,,,
Shubman Gill,8,58,55,1417,0,10,137,36,31.48,123,23,,,,,
Mohammed Shami,6.25,77,23,69,0,0,5,2,6.27,94.52,11,77,278.2,1,2402,79
Yash Dayal,3.2,,,,,,,,,,,,,,,
Ravisrinivasan Sai Kishore,3,,,,,,,,,,,,,,,
David Miller,3,89,86,1974,1,10,137,90,32.9,136.51,53,,,,,
Abhinav Manohar,2.6,,,,,,,,,,,,,,,
Alzarri Joseph,2.4,3,2,15,0,0,2,0,,115.38,1,3,8.4,1,87,6
Matthew Wade,2.4,3,3,22,0,0,0,0,7.33,66.66,,,,,,
Jason Roy,2,13,13,329,0,2,39,9,29.9,129.02,8,,,,,
Wriddhiman Saha,1.9,133,108,2110,1,8,191,69,24.53,128.73,69,,,,,
Jayant Yadav,1.7,19,5,40,0,0,2,1,10,111.11,6,19,61,0,419,8
Vijay Shankar,1.4,47,39,712,0,3,45,28,26.37,126.24,21,20,38.1,0,329,9
Dominic Drakes,1.1,,,,,,,,,,,,,,,
Varun Aaron,0.5,50,13,50,0,0,2,2,10,69.44,3,48,160.4,2,1429,42
Gurkeerat Singh Mann,0.5,41,32,511,0,2,55,11,21.29,121.09,19,6,13,0,97,5
Noor Ahmad,0.3,,,,,,,,,,,,,,,
Darshan Nalkande,0.2,,,,,,,,,,,,,,,
Sai Sudharsan,0.2,,,,,,,,,,,,,,,
Pradeep Sangwan,0.2,39,14,24,0,0,1,0,3.42,61.53,6,39,133.4,1,1175,35
